('Wayback_Machine', 0.0233747168591572)
('International_Standard_Book_Number', 0.019743708675494683)
('Integrated_Authority_File', 0.018283451296946647)
('Sun', 0.01663409599548653)
('Digital_object_identifier', 0.01529903441832043)
('NASA', 0.014633612032349632)
('Library_of_Congress_Control_Number', 0.013159919888151812)
('Bibcode', 0.00911316546841682)
('National_Diet_Library', 0.007109900786695013)
('PubMed_Identifier', 0.006387877840272631)
('Earth', 0.006186826447838974)
('OCLC', 0.005618436129861239)
('Space', 0.005301325275398705)
('Astronomy', 0.004840676504532175)
('Canada', 0.004786978525628016)
('Electron', 0.004746048474048387)
('ArXiv', 0.004662518452381983)
('Moon', 0.004432094435684784)
('PubMed_Central', 0.004353251857832052)
('Solar_eclipse', 0.003962249400103368)
('Star', 0.00352318405576061)
('India', 0.0032083295005822087)
('Solar_System', 0.0031551931797062713)
('Russia', 0.003080322211292906)
('United_Kingdom', 0.003063195542271719)
('Month', 0.0030498518216786753)
('Mir', 0.0030432765797892246)
('Gas', 0.002954442304517782)
('Corona', 0.0026680195378836445)
('France', 0.0026091612764232983)
('BBC', 0.0023173165000267776)
('Iron', 0.002284675860887841)
('Kelvin', 0.002222024441568938)
('Magnetic_field', 0.0022028829455192807)
('Eclipse', 0.002163839048121218)
('Plasma_(physics)', 0.001991208457172693)
('Solar_wind', 0.0019904673349869203)
('Ancient_Greek', 0.001926977155282397)
('Turkey', 0.0019216129449905236)
('Cambridge_University_Press', 0.0019183918339836209)
('Cyprus', 0.0018672897042573823)
('Temperature', 0.0018444211720518514)
('Germany', 0.001815613827700428)
('Space_weather', 0.0017719598081619653)
('Albert_Einstein', 0.0017128229183624476)
('International_Space_Station', 0.001711787586361529)
('Sunlight', 0.0017011865672750997)
('Iran', 0.0016599641412461674)
('Romania', 0.001639667045204205)
('Equator', 0.0016283383182154538)
